threshold	FPR	TPR
inf	0.0	0.0
5.247005294263833	6.666666666666667e-05	0.0
4.925733018200456	0.00013333333333333334	0.0
4.533196755735568	0.0002	0.0
4.525820654640604	0.0002666666666666667	0.0
4.316668919104959	0.0003333333333333333	0.0
4.316294073075751	0.0004	0.0
4.278904383047729	0.00046666666666666666	0.0
4.211458125662057	0.0005333333333333334	0.0
4.095260070247861	0.0006	0.0
4.086907696038325	0.0006666666666666666	0.0
3.933707846063147	0.0007333333333333333	0.0
3.892641013291742	0.0008	0.0
3.883315053679777	0.0008666666666666666	0.0
3.8755867433390705	0.0009333333333333333	0.0
3.8464831222342726	0.001	0.0
3.836778926304412	0.0010666666666666667	0.0
3.8259997925387648	0.0011333333333333334	0.0
3.8224694076598777	0.0012	0.0
3.792954540708115	0.0012666666666666666	0.0
3.7808092665608495	0.0013333333333333333	0.0
3.7795284577817165	0.0014	0.0
3.7678006877908636	0.0014666666666666667	0.0
3.762226239440678	0.0015333333333333334	0.0
3.7509009726140494	0.0015333333333333334	0.0002306805074971165
3.7104028532951636	0.0016	0.0002306805074971165
3.6892693342175935	0.0016666666666666668	0.0002306805074971165
3.6743999592255974	0.0017333333333333333	0.0002306805074971165
3.6305745118680655	0.0018	0.0002306805074971165
3.6234061586602717	0.0018666666666666666	0.0002306805074971165
3.6104764556577282	0.0019333333333333333	0.0002306805074971165
3.595886201735032	0.002	0.0002306805074971165
3.587526336936155	0.0020666666666666667	0.0002306805074971165
3.564574003778278	0.0021333333333333334	0.0002306805074971165
3.563695891668127	0.0022	0.0002306805074971165
3.531215848416535	0.002266666666666667	0.0002306805074971165
3.511042346022425	0.0023333333333333335	0.0002306805074971165
3.4926408571851018	0.0024	0.0002306805074971165
3.490411497113592	0.0024666666666666665	0.0002306805074971165
3.4850663638179866	0.002533333333333333	0.0002306805074971165
3.4816705746467145	0.0026	0.0002306805074971165
3.4485290000306827	0.0026	0.000461361014994233
3.4482346835410627	0.0026666666666666666	0.000461361014994233
3.4103574902383964	0.0027333333333333333	0.000461361014994233
3.4058640246526637	0.0028	0.000461361014994233
3.405640142618348	0.0028666666666666667	0.000461361014994233
3.405451348014426	0.0028666666666666667	0.0006920415224913495
3.3724360319121818	0.0029333333333333334	0.0006920415224913495
3.3716795474780317	0.003	0.0006920415224913495
3.3668034547587298	0.0030666666666666668	0.0006920415224913495
3.354049256876612	0.0031333333333333335	0.0006920415224913495
3.348153982816464	0.0032	0.0006920415224913495
3.3464218880609744	0.003266666666666667	0.0006920415224913495
3.339851696707614	0.0033333333333333335	0.0006920415224913495
3.3345750869367015	0.0034	0.0006920415224913495
3.3343848481004823	0.0034	0.000922722029988466
3.3296291986372317	0.0034666666666666665	0.000922722029988466
3.3273802222221835	0.003533333333333333	0.000922722029988466
3.2870774252917303	0.0036	0.000922722029988466
3.285779719670842	0.0036	0.0011534025374855825
3.273291829129632	0.0036666666666666666	0.0011534025374855825
3.2687570765206657	0.0037333333333333333	0.0011534025374855825
3.2661347976017567	0.0038	0.0011534025374855825
3.2635219905412	0.0038666666666666667	0.0011534025374855825
3.2508129617469446	0.003933333333333333	0.0011534025374855825
3.2507262717194956	0.004	0.0011534025374855825
3.2419403406049714	0.004066666666666666	0.0011534025374855825
3.2334294138224022	0.0041333333333333335	0.0011534025374855825
3.2321787668414883	0.0041333333333333335	0.001384083044982699
3.231095361393221	0.0042	0.001384083044982699
3.2248040296435994	0.004266666666666667	0.001384083044982699
3.2231913412614914	0.004333333333333333	0.001384083044982699
3.2059287524275617	0.0044	0.001384083044982699
3.2036289412572843	0.0044666666666666665	0.001384083044982699
3.1823513011459723	0.004533333333333334	0.001384083044982699
3.175473534720131	0.0046	0.001384083044982699
3.152989596377977	0.004666666666666667	0.001384083044982699
3.139264245435001	0.004733333333333333	0.001384083044982699
3.138816376707109	0.004733333333333333	0.0016147635524798155
