condition_time	stemness_maintenance
bcat 0h	-0.2054139638352352
bcat 0h	-0.064145358584846
bcat 8h	0.37593582192806
bcat 8h	0.3822330190241801
bcat 16h	0.2037592878448189
bcat 16h	0.1841887837357953
bcat 24h	0.2716220413495453
bcat 24h	0.1618740513886591
bcat 48h	0.3696489101368593
bcat 48h	0.3634164089058582
bcat 72h	0.194411982824227
bcat 72h	0.1394218168898611
chir 0h	-0.2342432910433736
chir 0h	-0.3405064949084059
chir 8h	0.1571604294789591
chir 8h	0.2639764535076839
chir 16h	-0.16834887501654
chir 16h	0.1137064170328501
chir 24h	-0.0615722248071971
chir 24h	0.0963536699160352
chir 48h	-0.4271398230041339
chir 48h	-0.3049362326125037
chir 72h	0.2549392404240028
chir 72h	0.0396488262476294
wnt 0h	-0.2107504953313433
wnt 0h	-0.4043958758302486
wnt 8h	0.0797207435986121
wnt 8h	0.0689120425496997
wnt 24h	-0.1138393077427142
wnt 24h	-0.0819263895923826
wnt 48h	-0.1178905468841641
wnt 48h	-0.1748781371277384
wnt 72h	0.036588021866586
wnt 72h	0.036588021866586
wnt 96h	-0.3086114745557597
wnt 96h	-0.2240525579965546
wnt 120h	-0.1744604856152324
wnt 120h	-0.1769944560281166
