condition_time	canonical_wnt_output	stemness_maintenance	bmp_smad_output	destemness_fate_lock	developmental_position
bcat 0h	-0.5132054114630795	-0.1347796612100406	-0.25679790658744006	-0.24376356376919045	-0.19173097559271468
bcat 8h	0.2869860382042772	0.37908442047612007	-0.12991876125883606	-0.38451878299047804	-0.002712703840361805
bcat 16h	-0.0214579012099446	0.1939740357903071	-0.35476809778550367	-0.5358439529354472	-0.09135163617589015
bcat 24h	-0.0708583478523116	0.21674804636910222	-0.10445526556780699	-0.1862997877262633	0.27157872849993764
bcat 48h	0.1286569474682494	0.3665326595213587	0.18553741699669146	-0.035429360187438044	0.24222104908678
bcat 72h	0.376824200522062	0.16691689985704405	0.5887236162934137	-0.045803868651577095	0.6517065244115923
chir 0h	-0.5998123721467234	-0.28737489297588975	-0.7345431880772165	-0.0058338967109163	-0.18744110996083885
chir 8h	0.4048373967636424	0.2105684414933215	-0.5605649008086234	-0.24213925185687535	-0.1711767794206529
chir 16h	0.07531016311105665	-0.02732122899184495	-0.6316457303797852	-0.4284399562827992	-0.3075445825594936
chir 24h	0.1671075877966005	0.017390722554419046	-0.4523224118397545	0.1213720230921234	-0.2199738686067512
chir 48h	0.5337518193927878	-0.3660380278083188	0.8761158207049026	0.8932611734870024	0.9098415853674944
chir 72h	0.6621315508672259	0.1472940333358161	0.4847083172872691	0.34076558993014966	0.5570184067088481
wnt 0h	-0.5584183001533007	-0.30757318558079594	-1.0188430884887283	-0.5384641776158332	-0.5337190370938281
wnt 8h	0.13656678711373565	0.0743163930741559	-0.5247678609516622	-0.4257483790403287	-0.3346891173568073
wnt 24h	-0.30219433856355427	-0.0978828486675484	-0.291362634993066	0.091821690494151	-0.3054646712585436
wnt 48h	-0.296811852225841	-0.14638434200595124	-0.3452866784422896	-0.23723364862731233	-0.2278388425470635
wnt 72h	-0.0341111957881578	0.036588021866586	0.6927852581047024	0.2112032237278745	-0.1528875809855581
wnt 96h	-0.49326619384972614	-0.26633201627615716	0.8428215595079058	0.6101785406544162	0.0475378343224334
wnt 120h	0.11796342201301466	-0.1757274708216745	1.7345845362858379	1.0409163850087553	0.04662677700142015
