condition_time	canonical_wnt_output
bcat 0h	-0.5951736345814974
bcat 0h	-0.4312371883446617
bcat 8h	0.2923855113879339
bcat 8h	0.2815865650206205
bcat 16h	-0.0448736933584192
bcat 16h	0.00195789093853
bcat 24h	0.0500951731303317
bcat 24h	-0.1918118688349549
bcat 48h	0.1534070465014068
bcat 48h	0.103906848435092
bcat 72h	0.4225997868333349
bcat 72h	0.3310486142107891
chir 0h	-0.5871945566983129
chir 0h	-0.6124301875951339
chir 8h	0.2841435906179071
chir 8h	0.5255312029093777
chir 16h	-0.1317252080799422
chir 16h	0.2823455343020555
chir 24h	0.094724320290378
chir 24h	0.239490855302823
chir 48h	0.5221739925004535
chir 48h	0.5453296462851221
chir 72h	0.7692447250606379
chir 72h	0.5550183766738138
wnt 0h	-0.430289261036996
wnt 0h	-0.6865473392696054
wnt 8h	0.150344977917908
wnt 8h	0.1227885963095633
wnt 24h	-0.3177370829621187
wnt 24h	-0.2866515941649898
wnt 48h	-0.2884805268160884
wnt 48h	-0.3051431776355936
wnt 72h	-0.0341111957881578
wnt 72h	-0.0341111957881578
wnt 96h	-0.6295031209164419
wnt 96h	-0.3570292667830104
wnt 120h	0.1219871720589838
wnt 120h	0.1139396719670455
