embedding_1	embedding_2	CellRank_fate_entropy	color_scale_vmin_2pct	color_scale_vmax_98pct
0.012036814347779751	-0.0067969229637053034	0.7331391292179592	-2.1882802187106782	1.0369229473091284
0.012047925398448667	0.002767367183950485	-2.1882802187106782	-2.1882802187106782	1.0369229473091284
0.017126775748338017	-0.0013166077987103472	0.9071876243423262	-2.1882802187106782	1.0369229473091284
-0.02810253713766927	0.003331723500384294	0.4542451745491441	-2.1882802187106782	1.0369229473091284
0.016182839770314223	0.0004120686593066437	0.7454941564393506	-2.1882802187106782	1.0369229473091284
-0.02799638102391263	-0.0019627597465727807	-1.000552541188768	-2.1882802187106782	1.0369229473091284
-0.02090612819467723	-0.00032698386843410776	-2.1882802187106782	-2.1882802187106782	1.0369229473091284
0.004264197284957859	-0.013108997248349921	0.8747916913641722	-2.1882802187106782	1.0369229473091284
-0.027681777600351388	0.0026404182043720803	0.6428439269796201	-2.1882802187106782	1.0369229473091284
-0.011314550868531554	0.011145301240564565	-2.1882802187106782	-2.1882802187106782	1.0369229473091284
0.018178576729899355	0.003197583679218866	0.7427437225596614	-2.1882802187106782	1.0369229473091284
-0.010559949752017643	-0.001170565806529595	0.4377044629534275	-2.1882802187106782	1.0369229473091284
0.014277699301346494	-0.0014484250426795371	1.033157312517413	-2.1882802187106782	1.0369229473091284
0.015553161461995754	0.001137656355523696	0.7179339586794566	-2.1882802187106782	1.0369229473091284
-0.026455013141557272	-0.0006464861942269873	-2.1882802187106782	-2.1882802187106782	1.0369229473091284
0.005987764097551884	-0.014986646479507496	0.8314671389774573	-2.1882802187106782	1.0369229473091284
0.0027886848602810222	0.01661292564992725	-2.1882802187106782	-2.1882802187106782	1.0369229473091284
-0.031186837670666583	-0.00025164115183552206	-0.8684778254319987	-2.1882802187106782	1.0369229473091284
-0.02458679714798648	-0.030512927385954278	0.6255020869474482	-2.1882802187106782	1.0369229473091284
-0.024194157115842364	-0.029971890654658644	0.8555702336085738	-2.1882802187106782	1.0369229473091284
