dominant_fate_state	cellrank_absorb_tumor_plasticity_basin
tumor_plasticity_basin	0.3189818153805997
senescence_basin	0.026158188988971112
senescence_basin	0.0950938057216904
tumor_plasticity_basin	1.0
inflammatory_regeneration_bridge	0.0
tumor_plasticity_basin	0.4525785636645526
embryonic_like_plasticity_basin	0.8745892430101715
tumor_plasticity_basin	0.15124132214856373
inflammatory_regeneration_bridge	0.0925556787298234
tumor_plasticity_basin	1.0
senescence_basin	0.095461068978787
inflammatory_regeneration_bridge	0.09365778845160964
tumor_plasticity_basin	0.42774666909550724
tumor_plasticity_basin	0.029755706770388645
senescence_basin	0.06569392487512167
senescence_basin	0.0523185948451511
tumor_plasticity_basin	0.09302937656498074
tumor_plasticity_basin	0.25526976214408037
inflammatory_regeneration_bridge	0.8458787822767303
tumor_plasticity_basin	0.8417373190788411
tumor_plasticity_basin	0.9260911305239146
senescence_basin	0.006051526198695289
senescence_basin	0.0
tumor_plasticity_basin	0.0629154463301927
tumor_plasticity_basin	1.0
tumor_plasticity_basin	0.9554105664372019
tumor_plasticity_basin	1.0
senescence_basin	0.024837636684865626
tumor_plasticity_basin	0.005625778269571955
embryonic_like_plasticity_basin	0.1901251824825544
embryonic_like_plasticity_basin	0.005795952973511017
tumor_plasticity_basin	1.0
senescence_basin	0.04250366358362444
embryonic_like_plasticity_basin	0.07635526982364114
embryonic_like_plasticity_basin	0.0
embryonic_like_plasticity_basin	0.05229473534614699
inflammatory_regeneration_bridge	0.4793511358795723
tumor_plasticity_basin	0.3002202119225148
senescence_basin	0.0021050206666241716
tumor_plasticity_basin	0.07541425742227448
tumor_plasticity_basin	1.0
tumor_plasticity_basin	0.1993463158464858
senescence_basin	0.026939207406103654
tumor_plasticity_basin	0.9286551632014638
embryonic_like_plasticity_basin	0.013837903464383565
tumor_plasticity_basin	0.08813252211962973
tumor_plasticity_basin	0.8279278892253267
tumor_plasticity_basin	1.0
inflammatory_regeneration_bridge	0.8925175186754308
inflammatory_regeneration_bridge	0.05023528813970285
inflammatory_regeneration_bridge	0.0694759379229994
embryonic_like_plasticity_basin	0.12241146126467177
inflammatory_regeneration_bridge	0.0
senescence_basin	0.19826563214401854
tumor_plasticity_basin	0.9342401475004372
tumor_plasticity_basin	0.8521332989483154
