dominant_fate_state	velocity_self_transition
tumor_plasticity_basin	0.10512218
embryonic_like_plasticity_basin	0.2693303
tumor_plasticity_basin	0.11814004
tumor_plasticity_basin	0.14512923
tumor_plasticity_basin	0.18505858
inflammatory_regeneration_bridge	0.19164914
inflammatory_regeneration_bridge	0.1079787
inflammatory_regeneration_bridge	0.1448051
embryonic_like_plasticity_basin	0.13670886
inflammatory_regeneration_bridge	0.14840436
senescence_basin	0.079295486
tumor_plasticity_basin	0.15000883
tumor_plasticity_basin	0.040730506
inflammatory_regeneration_bridge	0.1066691
embryonic_like_plasticity_basin	0.119510144
senescence_basin	0.14972025
inflammatory_regeneration_bridge	0.16834381
tumor_plasticity_basin	0.08558616
tumor_plasticity_basin	0.18537748
senescence_basin	0.14288747
inflammatory_regeneration_bridge	0.059496105
tumor_plasticity_basin	0.22245844
embryonic_like_plasticity_basin	0.2034815
embryonic_like_plasticity_basin	0.056095004
tumor_plasticity_basin	0.06475991
senescence_basin	0.18995537
inflammatory_regeneration_bridge	0.0
inflammatory_regeneration_bridge	0.15042615
embryonic_like_plasticity_basin	0.15786389
inflammatory_regeneration_bridge	0.16665284
tumor_plasticity_basin	0.17643519
senescence_basin	0.043796897
tumor_plasticity_basin	0.20657639
inflammatory_regeneration_bridge	0.113615006
inflammatory_regeneration_bridge	0.0
embryonic_like_plasticity_basin	0.05896479
inflammatory_regeneration_bridge	0.21065558
embryonic_like_plasticity_basin	0.16936229
tumor_plasticity_basin	0.17516135
embryonic_like_plasticity_basin	0.19570582
inflammatory_regeneration_bridge	0.11777586
inflammatory_regeneration_bridge	0.06965646
inflammatory_regeneration_bridge	0.09265843
inflammatory_regeneration_bridge	0.24109535
inflammatory_regeneration_bridge	0.14919683
embryonic_like_plasticity_basin	0.13503298
embryonic_like_plasticity_basin	0.121483654
embryonic_like_plasticity_basin	0.19360115
inflammatory_regeneration_bridge	0.073542714
embryonic_like_plasticity_basin	0.100105196
inflammatory_regeneration_bridge	0.04859051
tumor_plasticity_basin	0.1749821
inflammatory_regeneration_bridge	0.3030821
tumor_plasticity_basin	0.17912784
tumor_plasticity_basin	0.11356953
senescence_basin	0.1716258
tumor_plasticity_basin	0.16462404
senescence_basin	0.16500355
senescence_basin	0.21601063
embryonic_like_plasticity_basin	0.20978749
senescence_basin	0.11571723
embryonic_like_plasticity_basin	0.20936218
tumor_plasticity_basin	0.1353187
senescence_basin	0.016993493
tumor_plasticity_basin	0.14145279
tumor_plasticity_basin	0.15696865
tumor_plasticity_basin	0.116260886
senescence_basin	0.15613757
senescence_basin	0.11795381
inflammatory_regeneration_bridge	0.1314075
senescence_basin	0.22554135
senescence_basin	0.12394798
senescence_basin	0.17467049
senescence_basin	0.15320565
tumor_plasticity_basin	0.25517982
tumor_plasticity_basin	0.14215863
inflammatory_regeneration_bridge	0.1823248
senescence_basin	0.18123104
tumor_plasticity_basin	0.10753322
tumor_plasticity_basin	0.13082168
inflammatory_regeneration_bridge	0.16957827
embryonic_like_plasticity_basin	0.18392484
senescence_basin	0.14195299
embryonic_like_plasticity_basin	0.09248915
inflammatory_regeneration_bridge	0.182914
inflammatory_regeneration_bridge	0.20559998
senescence_basin	0.2495646
senescence_basin	0.1614645
embryonic_like_plasticity_basin	0.16304086
tumor_plasticity_basin	0.11968383
inflammatory_regeneration_bridge	0.20823501
inflammatory_regeneration_bridge	0.13413104
embryonic_like_plasticity_basin	0.19154981
tumor_plasticity_basin	0.25297356
tumor_plasticity_basin	0.26279947
senescence_basin	0.101180255
senescence_basin	0.15161674
embryonic_like_plasticity_basin	0.1122199
tumor_plasticity_basin	0.12846392
inflammatory_regeneration_bridge	0.17402422
embryonic_like_plasticity_basin	0.14947614
senescence_basin	0.070958436
tumor_plasticity_basin	0.15876456
inflammatory_regeneration_bridge	0.28897926
inflammatory_regeneration_bridge	0.067290515
senescence_basin	0.055092454
embryonic_like_plasticity_basin	0.15149975
inflammatory_regeneration_bridge	0.13723922
senescence_basin	0.18116269
senescence_basin	0.20704442
inflammatory_regeneration_bridge	0.19578797
tumor_plasticity_basin	0.17580955
inflammatory_regeneration_bridge	0.21772046
senescence_basin	0.14418489
tumor_plasticity_basin	0.16073562
tumor_plasticity_basin	0.21569145
senescence_basin	0.15811951
tumor_plasticity_basin	0.0
tumor_plasticity_basin	0.097500056
embryonic_like_plasticity_basin	0.19199619
senescence_basin	0.13011885
tumor_plasticity_basin	0.1507121
tumor_plasticity_basin	0.08965358
tumor_plasticity_basin	0.17015342
senescence_basin	0.20857151
inflammatory_regeneration_bridge	0.13794175
tumor_plasticity_basin	0.15387861
embryonic_like_plasticity_basin	0.19905975
inflammatory_regeneration_bridge	0.23334856
embryonic_like_plasticity_basin	0.19913758
tumor_plasticity_basin	0.16006155
inflammatory_regeneration_bridge	0.035197884
inflammatory_regeneration_bridge	0.15245035
inflammatory_regeneration_bridge	0.14155096
senescence_basin	0.14152572
tumor_plasticity_basin	0.17611516
tumor_plasticity_basin	0.11418122
senescence_basin	0.21718027
inflammatory_regeneration_bridge	0.18114282
tumor_plasticity_basin	0.28093368
senescence_basin	0.12487844
tumor_plasticity_basin	0.07316646
senescence_basin	0.10767186
senescence_basin	0.26389235
tumor_plasticity_basin	0.16886795
tumor_plasticity_basin	0.10811645
tumor_plasticity_basin	0.14623803
senescence_basin	0.16814105
tumor_plasticity_basin	0.21236287
embryonic_like_plasticity_basin	0.14335528
senescence_basin	0.2558336
tumor_plasticity_basin	0.07261142
senescence_basin	0.2121465
inflammatory_regeneration_bridge	0.18354566
tumor_plasticity_basin	0.22148962
inflammatory_regeneration_bridge	0.15489846
senescence_basin	0.26037067
embryonic_like_plasticity_basin	0.20861946
senescence_basin	0.15216959
embryonic_like_plasticity_basin	0.18739463
senescence_basin	0.14500928
inflammatory_regeneration_bridge	0.11051741
tumor_plasticity_basin	0.120951384
embryonic_like_plasticity_basin	0.22359927
inflammatory_regeneration_bridge	0.2179761
tumor_plasticity_basin	0.12681681
senescence_basin	0.20408548
embryonic_like_plasticity_basin	0.18149088
tumor_plasticity_basin	0.16484791
embryonic_like_plasticity_basin	0.08229256
senescence_basin	0.05549124
senescence_basin	0.15146025
tumor_plasticity_basin	0.13931805
senescence_basin	0.12070796
inflammatory_regeneration_bridge	0.24627459
inflammatory_regeneration_bridge	0.07306695
inflammatory_regeneration_bridge	0.22129698
tumor_plasticity_basin	0.093986005
embryonic_like_plasticity_basin	0.13792747
senescence_basin	0.10463911
senescence_basin	0.12881953
senescence_basin	0.037302792
tumor_plasticity_basin	0.18460876
inflammatory_regeneration_bridge	0.118427485
inflammatory_regeneration_bridge	0.25643063
senescence_basin	0.10255408
senescence_basin	0.16059703
embryonic_like_plasticity_basin	0.21887317
inflammatory_regeneration_bridge	0.16505365
inflammatory_regeneration_bridge	0.28976285
inflammatory_regeneration_bridge	0.18312694
embryonic_like_plasticity_basin	0.13332656
embryonic_like_plasticity_basin	0.14454001
tumor_plasticity_basin	0.14022225
tumor_plasticity_basin	0.15223223
inflammatory_regeneration_bridge	0.14342684
tumor_plasticity_basin	0.16498233
embryonic_like_plasticity_basin	0.16400737
tumor_plasticity_basin	0.079696685
senescence_basin	0.12888637
senescence_basin	0.16684255
senescence_basin	0.1948774
tumor_plasticity_basin	0.11093411
