latent_regime	bin_left	bin_right	bin_center	component_density	component_mass	weighted_component_density
adult_repair	-4.817054438516154	-4.73024940957797	-4.773651924047062	3.0923623701080602e-47	0.2698309911681841	8.344152033774528e-48
adult_repair	-4.73024940957797	-4.643444380639788	-4.686846895108879	5.723441593937747e-29	0.2698309911681841	1.5443619181854338e-29
adult_repair	-4.643444380639788	-4.556639351701604	-4.600041866170696	0.0	0.2698309911681841	0.0
adult_repair	-4.556639351701604	-4.469834322763421	-4.513236837232513	2.0969878732112234e-35	0.2698309911681841	5.6583231629624674e-36
adult_repair	-4.469834322763421	-4.383029293825238	-4.42643180829433	2.206005439526797e-18	0.2698309911681841	5.952486342699212e-19
adult_repair	-4.383029293825238	-4.296224264887055	-4.339626779356147	2.5301336540141713e-18	0.2698309911681841	6.827084716506232e-19
adult_repair	-4.296224264887055	-4.209419235948872	-4.252821750417963	9.358636825055105e-18	0.2698309911681841	2.5252502504876867e-18
adult_repair	-4.209419235948872	-4.122614207010689	-4.16601672147978	7.876283100573435e-18	0.2698309911681841	2.1252652757489482e-18
adult_repair	-4.122614207010689	-4.035809178072506	-4.079211692541597	1.5469214404272078e-22	0.2698309911681841	4.174073455297885e-23
adult_repair	-4.035809178072506	-3.949004149134322	-3.992406663603414	1.3448017872708361e-18	0.2698309911681841	3.628691991840352e-19
adult_repair	-3.949004149134322	-3.862199120196139	-3.9056016346652305	2.3837159247842984e-18	0.2698309911681841	6.432004306479318e-19
adult_repair	-3.862199120196139	-3.775394091257956	-3.818796605727048	3.5936270743459e-26	0.2698309911681841	9.696719553595758e-27
adult_repair	-3.775394091257956	-3.688589062319773	-3.7319915767888645	1.3796920031488891e-15	0.2698309911681841	3.722836607164821e-16
adult_repair	-3.688589062319773	-3.60178403338159	-3.645186547850681	6.338713141984663e-16	0.2698309911681841	1.710381249832516e-16
adult_repair	-3.60178403338159	-3.514979004443407	-3.5583815189124985	1.167353416143264e-14	0.2698309911681841	3.149881293215026e-15
adult_repair	-3.514979004443407	-3.4281739755052234	-3.471576489974315	8.980197746409663e-15	0.2698309911681841	2.4231356588000126e-15
adult_repair	-3.4281739755052234	-3.3413689465670404	-3.3847714610361317	2.3949241469998242e-17	0.2698309911681841	6.462247563575804e-18
adult_repair	-3.3413689465670404	-3.2545639176288574	-3.297966432097949	9.313364030981868e-16	0.2698309911681841	2.513034247589952e-16
adult_repair	-3.2545639176288574	-3.167758888690674	-3.2111614031597657	9.093105113082752e-16	0.2698309911681841	2.453601565459602e-16
adult_repair	-3.167758888690674	-3.080953859752491	-3.1243563742215823	3.876503617725338e-12	0.2698309911681841	1.0460008134378795e-12
adult_repair	-3.080953859752491	-2.994148830814308	-3.0375513452833998	7.48723264299348e-18	0.2698309911681841	2.0202874051657134e-18
adult_repair	-2.994148830814308	-2.9073438018761246	-2.9507463163452163	1.2052920440491446e-13	0.2698309911681841	3.252251468929073e-14
adult_repair	-2.9073438018761246	-2.8205387729379416	-2.863941287407033	7.862466708436195e-15	0.2698309911681841	2.1215371849641883e-15
adult_repair	-2.8205387729379416	-2.7337337439997587	-2.7771362584688504	6.046953982965517e-10	0.2698309911681841	1.631655586771984e-10
adult_repair	-2.7337337439997587	-2.6469287150615752	-2.690331229530667	2.5746144336495823e-10	0.2698309911681841	6.947107645075798e-11
adult_repair	-2.6469287150615752	-2.5601236861233923	-2.6035262005924835	1.8252505002472664e-08	0.2698309911681841	4.925091516119437e-09
