observed_regime_proxy	n_cells	mean_P_Z_adult_repair	mean_P_Z_embryonic_reactivation	mean_P_Z_salamander_blastema	mean_P_Z_salamander_intact
mammalian_inflammatory_repair	15000	0.31628257194554127	0.41514541290991924	0.06759969199228358	0.20097232315225588
salamander_blastema_reactivation	4335	0.1337089223698468	0.28672233454101564	0.16701237118865295	0.4125563719004846
salamander_intact_reference	912	0.1528523251379589	0.43067168724718263	0.07042934298907522	0.3460466446257833
