embedding_1	embedding_2	differentiation_score	color_scale_vmin_2pct	color_scale_vmax_98pct
-0.0017693982812250117	0.027776052034929104	1.1941472041754073	-0.3771658975106698	1.0179537106737668
0.008048638443738442	0.010856917736332908	-0.1985385094159915	-0.3771658975106698	1.0179537106737668
0.007229020986645739	0.010510644372537197	-0.4026733210057388	-0.3771658975106698	1.0179537106737668
-0.03630238708338912	-0.0008928036700987741	-0.26436417191116895	-0.3771658975106698	1.0179537106737668
0.009242161595347412	0.009670549342658562	-0.1991516160376278	-0.3771658975106698	1.0179537106737668
0.005543929611669795	0.021012022213026206	0.7020829871848778	-0.3771658975106698	1.0179537106737668
0.004122013678995293	-0.007416230782280361	-0.23993647540057148	-0.3771658975106698	1.0179537106737668
0.00824988753120693	0.013074306996666434	-0.15327901310390896	-0.3771658975106698	1.0179537106737668
0.012899695957322018	-0.02147362153048635	-0.2722237198441117	-0.3771658975106698	1.0179537106737668
-0.03498611017109529	-0.00038161053626712126	-0.16955382735640914	-0.3771658975106698	1.0179537106737668
0.0051415505724684354	0.010742478877178902	-0.39947654214906103	-0.3771658975106698	1.0179537106737668
-0.035277323445968824	-0.0007990447101636348	-0.2779169435854311	-0.3771658975106698	1.0179537106737668
0.010170080910202762	-0.0243683132707091	-0.283534038214036	-0.3771658975106698	1.0179537106737668
0.009762930539096654	-0.02202385005218035	-0.10918643739488393	-0.3771658975106698	1.0179537106737668
0.0026922482864645135	0.022941867035263103	0.3517783070787972	-0.3771658975106698	1.0179537106737668
0.007731711413266062	0.013149354831861615	-0.017132037951622492	-0.3771658975106698	1.0179537106737668
0.008655416798234726	0.012394832576667784	-0.16596359971128863	-0.3771658975106698	1.0179537106737668
0.008353687913932274	0.013474516779069972	-0.08456586319723247	-0.3771658975106698	1.0179537106737668
0.006188468961471453	0.009957683287092988	-0.3050078168327426	-0.3771658975106698	1.0179537106737668
0.012488047135111344	-0.017429258142955945	0.02244954933354884	-0.3771658975106698	1.0179537106737668
0.008680490848457414	-0.02148519824455715	-0.17873195659967117	-0.3771658975106698	1.0179537106737668
0.007792650437654223	0.01164689477693638	-0.10803114337685665	-0.3771658975106698	1.0179537106737668
-0.0196540299057804	-0.00552805767816298	-0.1854436191511743	-0.3771658975106698	1.0179537106737668
0.008945043184660864	0.00898664434029083	-0.12231280185558177	-0.3771658975106698	1.0179537106737668
-0.019583131907032543	-0.005796320844807484	-0.1790236367119683	-0.3771658975106698	1.0179537106737668
0.008714466629504954	-0.023531992963548926	-0.14891100812841346	-0.3771658975106698	1.0179537106737668
0.008991894021778682	0.010829905191644897	-0.31236714492609474	-0.3771658975106698	1.0179537106737668
0.012887908869256939	-0.020711516505643686	-0.2642494955180604	-0.3771658975106698	1.0179537106737668
-0.0012698129799557803	0.02686172788144021	0.8429625358110593	-0.3771658975106698	1.0179537106737668
0.00898926669594694	0.011680408301476845	-0.2978073402687355	-0.3771658975106698	1.0179537106737668
0.007670950693460668	0.009931349844057948	-0.1848353883366526	-0.3771658975106698	1.0179537106737668
0.010538806669667673	-0.024588847571941776	-0.10514719397933392	-0.3771658975106698	1.0179537106737668
0.010506080610518673	-0.012218625672277068	-0.13922364034770449	-0.3771658975106698	1.0179537106737668
0.008216417232352446	0.014273862567824267	-0.2979244420557846	-0.3771658975106698	1.0179537106737668
0.010697675990432792	-0.023206433352062208	-0.2871506537920163	-0.3771658975106698	1.0179537106737668
-0.03597390012038883	-0.0007459151447428795	-0.23755389084050685	-0.3771658975106698	1.0179537106737668
0.010701467571549163	-0.019564917952376523	-0.0244295597076416	-0.3771658975106698	1.0179537106737668
