embedding_1	embedding_2	local_self_retention	color_scale_vmin_2pct	color_scale_vmax_98pct
-0.0017693982812250117	0.027776052034929104	0.9333333333333333	0.03333333333333333	1.0
0.008048638443738442	0.010856917736332908	0.7	0.03333333333333333	1.0
0.007229020986645739	0.010510644372537197	0.23333333333333334	0.03333333333333333	1.0
-0.03630238708338912	-0.0008928036700987741	1.0	0.03333333333333333	1.0
0.009242161595347412	0.009670549342658562	0.5666666666666667	0.03333333333333333	1.0
0.005543929611669795	0.021012022213026206	0.9	0.03333333333333333	1.0
0.004122013678995293	-0.007416230782280361	1.0	0.03333333333333333	1.0
0.00824988753120693	0.013074306996666434	0.23333333333333334	0.03333333333333333	1.0
0.012899695957322018	-0.02147362153048635	1.0	0.03333333333333333	1.0
-0.03498611017109529	-0.00038161053626712126	1.0	0.03333333333333333	1.0
0.0051415505724684354	0.010742478877178902	0.9666666666666667	0.03333333333333333	1.0
-0.035277323445968824	-0.0007990447101636348	1.0	0.03333333333333333	1.0
0.010170080910202762	-0.0243683132707091	1.0	0.03333333333333333	1.0
0.009762930539096654	-0.02202385005218035	1.0	0.03333333333333333	1.0
0.0026922482864645135	0.022941867035263103	0.7333333333333333	0.03333333333333333	1.0
0.007731711413266062	0.013149354831861615	0.43333333333333335	0.03333333333333333	1.0
0.008655416798234726	0.012394832576667784	0.2	0.03333333333333333	1.0
0.008353687913932274	0.013474516779069972	0.03333333333333333	0.03333333333333333	1.0
0.006188468961471453	0.009957683287092988	0.3	0.03333333333333333	1.0
0.012488047135111344	-0.017429258142955945	1.0	0.03333333333333333	1.0
0.008680490848457414	-0.02148519824455715	1.0	0.03333333333333333	1.0
0.007792650437654223	0.01164689477693638	0.5	0.03333333333333333	1.0
-0.0196540299057804	-0.00552805767816298	1.0	0.03333333333333333	1.0
0.008945043184660864	0.00898664434029083	0.43333333333333335	0.03333333333333333	1.0
-0.019583131907032543	-0.005796320844807484	1.0	0.03333333333333333	1.0
0.008714466629504954	-0.023531992963548926	1.0	0.03333333333333333	1.0
0.008991894021778682	0.010829905191644897	0.4666666666666667	0.03333333333333333	1.0
0.012887908869256939	-0.020711516505643686	1.0	0.03333333333333333	1.0
-0.0012698129799557803	0.02686172788144021	0.9	0.03333333333333333	1.0
0.00898926669594694	0.011680408301476845	0.5666666666666667	0.03333333333333333	1.0
0.007670950693460668	0.009931349844057948	0.6666666666666666	0.03333333333333333	1.0
0.010538806669667673	-0.024588847571941776	1.0	0.03333333333333333	1.0
0.010506080610518673	-0.012218625672277068	1.0	0.03333333333333333	1.0
0.008216417232352446	0.014273862567824267	0.23333333333333334	0.03333333333333333	1.0
0.010697675990432792	-0.023206433352062208	1.0	0.03333333333333333	1.0
-0.03597390012038883	-0.0007459151447428795	1.0	0.03333333333333333	1.0
0.010701467571549163	-0.019564917952376523	1.0	0.03333333333333333	1.0
0.010429900914813394	-0.018220658710116702	1.0	0.03333333333333333	1.0
0.004981823262252867	0.008452859686189884	0.4	0.03333333333333333	1.0
0.009902959995659426	-0.024930616726853826	1.0	0.03333333333333333	1.0
0.007613125605801887	-0.023933386089972697	1.0	0.03333333333333333	1.0
0.010621069661952108	-0.020605175900115784	1.0	0.03333333333333333	1.0
0.007959041867971126	0.017700937840830436	0.36666666666666664	0.03333333333333333	1.0
-0.02088899464224779	-0.005967778875916327	1.0	0.03333333333333333	1.0
-0.0362095904987313	-0.0008353239708537647	1.0	0.03333333333333333	1.0
0.011702192952216908	-0.010703932469395877	1.0	0.03333333333333333	1.0
-0.0341806111899417	-4.692291549882503e-05	1.0	0.03333333333333333	1.0
0.005969400698100463	0.011379703068690886	0.8333333333333334	0.03333333333333333	1.0
0.004589659249535468	0.009079991120840302	0.4	0.03333333333333333	1.0
0.010832886367169905	-0.012050084692705238	1.0	0.03333333333333333	1.0
0.01310995788873826	-0.020547128600004176	1.0	0.03333333333333333	1.0
-0.03572415030627746	-0.0006597100844948315	1.0	0.03333333333333333	1.0
-0.03651865862754802	-0.0009226315295830154	1.0	0.03333333333333333	1.0
0.00815415104780168	0.01080067222541033	0.6666666666666666	0.03333333333333333	1.0
0.009950266159232673	-0.021299733095577734	1.0	0.03333333333333333	1.0
0.010397068178198205	-0.024029424352311816	1.0	0.03333333333333333	1.0
-0.022034210614864085	-0.006588203988346207	1.0	0.03333333333333333	1.0
0.008153768506199727	0.010140333916124107	0.5	0.03333333333333333	1.0
0.012456630881851479	-0.021930483686611255	1.0	0.03333333333333333	1.0
0.008297863016196694	-0.025422400573722505	1.0	0.03333333333333333	1.0
0.0075000079153349835	0.009022965627857342	0.43333333333333335	0.03333333333333333	1.0
0.0051099647595157826	0.010074758683540604	0.6333333333333333	0.03333333333333333	1.0
-0.035694564308519326	-0.0006017878536701623	1.0	0.03333333333333333	1.0
0.008834596475639153	0.010363044291621073	0.03333333333333333	0.03333333333333333	1.0
0.006868101270555943	0.010817697045875594	0.4	0.03333333333333333	1.0
0.010443367704512974	-0.022642932989007724	1.0	0.03333333333333333	1.0
-0.02177838324277658	-0.006635688803528525	1.0	0.03333333333333333	1.0
0.008788398992011118	0.014984835828024828	0.3333333333333333	0.03333333333333333	1.0
0.00733326963367055	0.01167284433535138	0.4666666666666667	0.03333333333333333	1.0
0.007119555887063471	-0.026516209893489417	1.0	0.03333333333333333	1.0
-0.023085965469726206	-0.00728717338723933	1.0	0.03333333333333333	1.0
-0.03651794430805643	-0.000856436677421502	1.0	0.03333333333333333	1.0
0.01316190762124152	-0.021967888655316417	1.0	0.03333333333333333	1.0
0.009536281603617967	0.009553960452750813	0.5	0.03333333333333333	1.0
-0.002791711117438653	0.02924506583667213	0.9666666666666667	0.03333333333333333	1.0
0.004654765595018468	0.02220946477604629	0.8666666666666667	0.03333333333333333	1.0
-0.035525667795871456	-0.0005721937277465231	1.0	0.03333333333333333	1.0
0.0070224070041335655	0.018309285299387534	0.5	0.03333333333333333	1.0
0.008340698927649152	0.013109353490553739	0.36666666666666664	0.03333333333333333	1.0
0.012856008325439571	0.006538328385123782	0.3	0.03333333333333333	1.0
0.008994956917388068	0.005863173395685388	0.36666666666666664	0.03333333333333333	1.0
0.013761153996159065	-0.012500386769674517	1.0	0.03333333333333333	1.0
0.01196693618885576	-0.02098897029153248	1.0	0.03333333333333333	1.0
-0.03650585672162993	-0.0009339460208552538	1.0	0.03333333333333333	1.0
0.012576592424304067	-0.02062216879499359	1.0	0.03333333333333333	1.0
0.00506293916103602	-0.00692664732281598	1.0	0.03333333333333333	1.0
0.002586783949516411	0.007605009986929636	0.1	0.03333333333333333	1.0
0.003464915094244105	-0.0067927830438001815	1.0	0.03333333333333333	1.0
0.008985092792119547	0.012553431024208483	0.36666666666666664	0.03333333333333333	1.0
