tumor_like_quartile	differentiation_score
other tumor cells	-0.2661110677836854
other tumor cells	0.04631712407241634
other tumor cells	0.13283547059989265
other tumor cells	-0.1316242541795895
top tumor-like quartile	-0.28603186430754485
other tumor cells	0.19557946699636955
top tumor-like quartile	-0.2925597767771026
other tumor cells	-0.23649116798683448
other tumor cells	-0.1723313037260079
other tumor cells	-0.18451463440318167
other tumor cells	0.006289873594119227
other tumor cells	-0.09143938105783342
other tumor cells	-0.1802190262594341
other tumor cells	0.01826619807584784
other tumor cells	-0.19599964000560618
other tumor cells	-0.36605578293035057
other tumor cells	-0.25214338891300153
other tumor cells	-0.16640960287164758
other tumor cells	-0.3654314441445433
other tumor cells	-0.1991183669478805
other tumor cells	-0.21458745885778358
top tumor-like quartile	-0.2552101464919102
other tumor cells	-0.16005940201841756
other tumor cells	0.09202769656240206
other tumor cells	-0.3347117577070071
other tumor cells	-0.25203372814037184
top tumor-like quartile	-0.3765008478988836
other tumor cells	0.3011387365835685
top tumor-like quartile	-0.2716925821186584
other tumor cells	-0.0557947070510299
other tumor cells	-0.2039471849983121
top tumor-like quartile	-0.0290769942012834
other tumor cells	0.3547975398876048
other tumor cells	0.07219110006167564
other tumor cells	-0.11195043281272607
other tumor cells	-0.3235750080626688
other tumor cells	-0.10362178896680291
other tumor cells	-0.18187169675473813
other tumor cells	0.05847985656173138
other tumor cells	-0.20355690850151908
other tumor cells	-0.23719231876326197
other tumor cells	0.00426100801538537
other tumor cells	0.006126877702312711
top tumor-like quartile	-0.26042469636893567
other tumor cells	-0.26347880451767536
other tumor cells	0.15393135282728404
other tumor cells	-0.24611826296205874
other tumor cells	-0.26783505192509405
other tumor cells	-0.24670792950524226
other tumor cells	-0.19757824179566938
top tumor-like quartile	-0.2636897166570028
other tumor cells	-0.2512732140811873
top tumor-like quartile	0.018684281243218304
top tumor-like quartile	-0.09048224378515171
other tumor cells	-0.14105956642716017
other tumor cells	-0.04885402137850536
other tumor cells	0.17657753861980674
other tumor cells	-0.1850692754910316
other tumor cells	-0.29418231822826246
other tumor cells	-0.2873999277750651
other tumor cells	-0.2935572494695216
other tumor cells	-0.3174272702064043
other tumor cells	0.2218120716236256
other tumor cells	-0.05108289954103068
other tumor cells	0.17349938993100766
top tumor-like quartile	-0.3049835157983097
top tumor-like quartile	0.5593640657118809
other tumor cells	0.0638995141158869
other tumor cells	-0.2655965781506197
other tumor cells	-0.3002611796061198
other tumor cells	-0.14381606490523727
top tumor-like quartile	-0.31429502699110246
top tumor-like quartile	-0.2952154654043692
other tumor cells	-0.14139755861258801
top tumor-like quartile	-0.1698429555068781
top tumor-like quartile	-0.2264343073338638
other tumor cells	-0.24283807071638697
top tumor-like quartile	-0.28833049020649476
other tumor cells	-0.32075921988781586
other tumor cells	-0.03421161498552483
top tumor-like quartile	-0.30716872509614923
top tumor-like quartile	-0.07074574335121814
other tumor cells	-0.13084164960884753
top tumor-like quartile	-0.2381106467894566
top tumor-like quartile	-0.1621059606104721
top tumor-like quartile	-0.3411931873839579
other tumor cells	-0.16107082808459244
other tumor cells	0.03544063332640096
top tumor-like quartile	0.022121032079060854
other tumor cells	-0.24936975520334126
other tumor cells	-0.15315299563937718
other tumor cells	-0.06808673599619924
other tumor cells	-0.16478425485116463
other tumor cells	-0.1826081805759006
other tumor cells	0.09647923045688206
other tumor cells	-0.23650915828751928
other tumor cells	0.9433086654286325
other tumor cells	-0.13602767755955825
other tumor cells	-0.160080733122649
other tumor cells	0.1099008454216851
other tumor cells	-0.3238523506823881
top tumor-like quartile	0.6747023735517337
other tumor cells	-0.26626704651632427
other tumor cells	0.013907026361536123
top tumor-like quartile	-0.27041218604570555
other tumor cells	0.032340020309259865
other tumor cells	-0.20944654205699026
other tumor cells	-0.2853357291515963
other tumor cells	-0.25023201365529757
other tumor cells	-0.28213701130431373
other tumor cells	-0.1250299804004622
other tumor cells	-0.2965904282934872
other tumor cells	-0.21615209697205343
other tumor cells	-0.22198275430702868
other tumor cells	-0.2741753613507306
other tumor cells	-0.24437793684594425
other tumor cells	-0.29240989685058594
other tumor cells	-0.31340641445583767
top tumor-like quartile	-0.3426447974310981
top tumor-like quartile	-0.15364323133303795
