tumor_like_quartile	stemness_score
other tumor cells	0.960603533252593
other tumor cells	0.7971923159014794
top tumor-like quartile	1.1721367259179392
other tumor cells	-0.3836465650989163
top tumor-like quartile	1.298553397578578
other tumor cells	0.6545590662187145
other tumor cells	0.02131907401546357
other tumor cells	0.8877403274659188
other tumor cells	-0.3479061741982737
other tumor cells	-0.03676298549098356
other tumor cells	1.0939397427343553
other tumor cells	-0.2891945569745956
top tumor-like quartile	0.05707372773078179
top tumor-like quartile	-0.5114431996499339
other tumor cells	1.2547093629837036
top tumor-like quartile	1.2321574687957764
top tumor-like quartile	1.2824685804305538
other tumor cells	1.1347852368508615
top tumor-like quartile	1.102544657645687
other tumor cells	-0.22964674426663306
top tumor-like quartile	1.0691022796015586
other tumor cells	1.0382155910614999
other tumor cells	-0.35045020811019406
top tumor-like quartile	1.1735640802691059
other tumor cells	-0.4050567380843624
other tumor cells	-0.19058278779829702
top tumor-like quartile	1.7285862584267893
other tumor cells	-0.397312541161814
other tumor cells	0.2600065738924088
top tumor-like quartile	0.8694862973305487
other tumor cells	0.5401075540050384
other tumor cells	-0.34938623155316995
other tumor cells	0.07465152298250505
other tumor cells	1.2403665281111196
other tumor cells	-0.11529261642886746
other tumor cells	-0.3953693143783077
top tumor-like quartile	-0.019647082013468598
other tumor cells	-0.21864358840450163
other tumor cells	1.261170498786434
other tumor cells	-0.5970691557853453
other tumor cells	-0.37287755166330644
other tumor cells	-0.4167206056656376
top tumor-like quartile	1.3954515149516444
other tumor cells	0.04820297129692569
other tumor cells	-0.2072468573047269
other tumor cells	-0.5116642367455267
other tumor cells	0.09169640368030918
other tumor cells	1.1431049608415171
other tumor cells	0.9413369547936224
other tumor cells	-0.07921773002993676
other tumor cells	-0.22454581722136466
other tumor cells	-0.3872026935700447
other tumor cells	-0.5101835496963993
top tumor-like quartile	1.0360288235449022
other tumor cells	-0.41505305997786984
top tumor-like quartile	-0.28521436260592553
other tumor cells	-0.011803678927883032
top tumor-like quartile	1.1085122208441458
other tumor cells	-0.20830901688145054
top tumor-like quartile	-0.45712852478027344
top tumor-like quartile	0.9713156415570167
top tumor-like quartile	1.2469738491119877
other tumor cells	-0.2121464975418583
other tumor cells	0.7398729939614573
other tumor cells	0.8847461708130375
other tumor cells	-0.5021242941579511
other tumor cells	0.06451633380305383
top tumor-like quartile	1.1656582086317
top tumor-like quartile	1.0909178295443134
other tumor cells	-0.38438499550665584
other tumor cells	0.055658169331089136
other tumor cells	-0.049926104084137946
other tumor cells	-0.38754601103644215
top tumor-like quartile	1.1680037321582917
other tumor cells	-0.3672511808333858
top tumor-like quartile	1.0153949683712375
other tumor cells	-0.22178134610576014
top tumor-like quartile	1.131885532409914
other tumor cells	0.8187387335684991
top tumor-like quartile	1.272779856958697
top tumor-like quartile	0.9938091770295174
other tumor cells	-0.3589149598152407
other tumor cells	-0.48036993703534525
other tumor cells	-0.42032515618108934
other tumor cells	-0.2933370836319462
other tumor cells	-0.382736082999937
other tumor cells	0.7840709686279297
other tumor cells	-0.0027058855179817876
top tumor-like quartile	0.690054508947557
other tumor cells	-0.2725117264255401
top tumor-like quartile	1.4583724083438996
other tumor cells	-0.3863361112533077
other tumor cells	-0.34375055374637725
other tumor cells	-0.41355785246818294
other tumor cells	-0.562546145531439
other tumor cells	1.1695341448630057
other tumor cells	0.0656340516382648
other tumor cells	0.4022623665871159
other tumor cells	-0.18625682784665015
other tumor cells	0.8535098798813359
other tumor cells	0.8265789362692064
top tumor-like quartile	1.3858499988432853
top tumor-like quartile	1.0730247189921718
other tumor cells	-0.5831859957787299
other tumor cells	-0.07831518352031708
other tumor cells	0.2488750507754664
top tumor-like quartile	0.9843610448222007
top tumor-like quartile	0.7505127729908112
other tumor cells	-0.4515497146114226
other tumor cells	-0.33049241958125947
other tumor cells	0.8339478661937099
top tumor-like quartile	1.408163889761894
top tumor-like quartile	1.0791880622986825
other tumor cells	0.7056156858321159
top tumor-like quartile	0.11318746882100261
other tumor cells	-0.2754608892625378
other tumor cells	-0.19404172897338867
top tumor-like quartile	1.1298140402763122
top tumor-like quartile	0.8054777576077369
top tumor-like quartile	1.638244867324829
other tumor cells	-0.4482663369947864
other tumor cells	-0.048211572631712885
other tumor cells	0.780099714955976
other tumor cells	1.0436802525674143
other tumor cells	-0.46600610354254324
other tumor cells	-0.3960383957432162
other tumor cells	-0.3918330900130733
top tumor-like quartile	1.0345411915932932
other tumor cells	-0.5109379676080519
other tumor cells	-0.5080989406954858
top tumor-like quartile	0.987974843671245
other tumor cells	0.13407704618669325
other tumor cells	1.014328041384297
other tumor cells	0.900219359705525
other tumor cells	-0.4278708734819966
other tumor cells	-0.31408912904800906
other tumor cells	-0.44254542935279106
other tumor cells	1.0196624455913421
other tumor cells	0.8283896177045761
other tumor cells	1.0053511204258088
other tumor cells	-0.29633926912661523
other tumor cells	-0.29114007565283007
top tumor-like quartile	1.2170065679857807
other tumor cells	-0.3400201182211599
top tumor-like quartile	1.4288678246159707
top tumor-like quartile	0.8995304492212111
other tumor cells	1.027844521307176
other tumor cells	0.9358873944128713
other tumor cells	-0.21794628327892673
other tumor cells	0.39860109359987317
other tumor cells	-0.09173604749864148
top tumor-like quartile	1.381974712494881
other tumor cells	-0.6347091428695186
other tumor cells	-0.3357050188126103
other tumor cells	0.7572723242544359
other tumor cells	0.47477154193385956
other tumor cells	1.0343089449790215
other tumor cells	-0.41109552691059725
top tumor-like quartile	1.7825343455037763
top tumor-like quartile	1.0579790953666932
other tumor cells	1.289377535543134
other tumor cells	1.264578427037885
top tumor-like quartile	1.1926354515937068
top tumor-like quartile	0.9370289041150001
other tumor cells	-0.4557835978846396
other tumor cells	0.5340156362902734
other tumor cells	1.2884828121431413
other tumor cells	-0.17111893142423323
other tumor cells	-0.23147261527276808
top tumor-like quartile	1.3021207278774631
other tumor cells	-0.45288344352476056
top tumor-like quartile	0.8826541939089375
top tumor-like quartile	-0.4334079988541142
top tumor-like quartile	1.5101942208505446
other tumor cells	-0.2966385147263927
top tumor-like quartile	2.047564644967356
other tumor cells	-0.5117346855901903
other tumor cells	-0.29818424101798763
other tumor cells	-0.06337323208009044
other tumor cells	-0.33441063665574594
other tumor cells	-0.396552978023406
other tumor cells	1.1480143839313137
other tumor cells	0.7058038903820899
top tumor-like quartile	1.3462042039440525
other tumor cells	1.0120329895327167
top tumor-like quartile	0.926989613040801
other tumor cells	-0.4464428194107548
other tumor cells	-0.15610717958019626
other tumor cells	-0.07655359372015924
other tumor cells	-0.5015221872637349
other tumor cells	0.9768454028714088
other tumor cells	-0.4775933911723475
other tumor cells	0.821853026267021
other tumor cells	-0.38873167960874494
other tumor cells	-0.48198666111115485
other tumor cells	-0.13606195247942404
other tumor cells	-0.4405925812259797
other tumor cells	1.0708015734149563
other tumor cells	-0.04280881824031951
other tumor cells	-0.34761161188925466
top tumor-like quartile	0.6706077437247
other tumor cells	1.1241173936474707
other tumor cells	0.0881022205275874
other tumor cells	0.6486740112304688
other tumor cells	-0.43071386891026653
top tumor-like quartile	1.028980182063195
other tumor cells	-0.05913772986781213
top tumor-like quartile	1.3320062545038038
other tumor cells	-0.4769945452290197
other tumor cells	-0.5537673581031061
top tumor-like quartile	1.011089386478547
other tumor cells	0.8854065479770783
other tumor cells	-0.3808991216844128
other tumor cells	-0.051232855166158386
other tumor cells	0.07499518894380142
other tumor cells	-0.31372002632387225
other tumor cells	-0.3669842135521673
other tumor cells	-0.011124259041201678
other tumor cells	0.03173244191754249
other tumor cells	0.2077090778658467
other tumor cells	-0.6360159227924962
other tumor cells	-0.11947776521405867
top tumor-like quartile	1.2876390487917009
other tumor cells	0.790883679543772
other tumor cells	1.1595466982933782
other tumor cells	-0.4088934006229524
other tumor cells	0.9639405819677538
other tumor cells	0.8948228974496165
other tumor cells	-0.2862062454223633
top tumor-like quartile	1.0246227172113234
other tumor cells	-0.2615422894877772
top tumor-like quartile	0.8745889779060118
top tumor-like quartile	1.4217200125417402
other tumor cells	-0.3598178442447416
other tumor cells	-0.5504414958338584
other tumor cells	-0.3786487579345703
other tumor cells	0.3945808449099141
other tumor cells	-0.40927621818357895
other tumor cells	-0.46277003134450606
other tumor cells	-0.0908637479428322
other tumor cells	-0.7396862276138798
other tumor cells	0.949945661329454
other tumor cells	-0.4120600300450479
other tumor cells	-0.4901709710398028
top tumor-like quartile	1.1443438952968967
top tumor-like quartile	1.2302282625629055
other tumor cells	-0.394805415984123
other tumor cells	-0.2674366120369204
other tumor cells	-0.5301475524902344
other tumor cells	-0.04815371190347979
top tumor-like quartile	-0.5415392844907699
top tumor-like quartile	1.5969777722512521
other tumor cells	-0.36332542665543094
top tumor-like quartile	1.2113498026324856
top tumor-like quartile	1.0521711187977945
other tumor cells	-0.3444335691390499
top tumor-like quartile	1.6340205284856981
other tumor cells	-0.39586900895641697
other tumor cells	-0.5036036891321982
top tumor-like quartile	1.6219855277769026
top tumor-like quartile	1.1713673760814052
other tumor cells	0.7855436378909695
top tumor-like quartile	0.770187089520116
top tumor-like quartile	0.6375332455481252
top tumor-like quartile	-0.479591554211032
other tumor cells	0.7917952845173497
other tumor cells	0.7150161958509876
top tumor-like quartile	0.9060345503591722
other tumor cells	1.1823587532966369
other tumor cells	0.3165152149815713
other tumor cells	0.9308283405919229
other tumor cells	0.0762793594791043
other tumor cells	-0.2830512446741904
other tumor cells	-0.14954225478633756
other tumor cells	-0.4983578035908361
other tumor cells	0.12439228834644445
other tumor cells	-0.10616544754274432
other tumor cells	0.09443711946087499
other tumor cells	-0.44655476847002584
other tumor cells	-0.6016320259340348
top tumor-like quartile	1.2796730687541347
other tumor cells	1.111514606783467
other tumor cells	-0.2704050233287196
top tumor-like quartile	1.2880915711002965
other tumor cells	1.2909897835023942
other tumor cells	0.1785575545603229
other tumor cells	-0.1323214360783177
other tumor cells	-0.22853433893572894
other tumor cells	-0.32602839219954705
other tumor cells	-0.5457048108500819
other tumor cells	-0.6551630573887979
other tumor cells	0.33392036730243313
other tumor cells	0.9884212939969955
other tumor cells	-0.12839944131912723
other tumor cells	1.6602138473141577
other tumor cells	-0.3603855871385144
other tumor cells	0.8216101469532135
top tumor-like quartile	1.3890034306433892
top tumor-like quartile	1.5914458305604997
other tumor cells	0.9056541381343719
other tumor cells	0.6352640698032994
other tumor cells	1.0155536128628637
other tumor cells	1.163806761464765
other tumor cells	0.7608512909181656
other tumor cells	-0.5429083301175025
other tumor cells	-0.08952009677886963
top tumor-like quartile	1.249591596664921
other tumor cells	-0.15541191254892656
other tumor cells	0.06559752745013081
other tumor cells	-0.5293390212520477
other tumor cells	-0.3801208196147796
top tumor-like quartile	1.205596912291742
other tumor cells	-0.6163257475822203
top tumor-like quartile	0.8012773452266571
other tumor cells	0.8135337060497654
top tumor-like quartile	1.0324033614127868
other tumor cells	0.6092264344615321
