latent_regime	module	n_edges	mean_abs_regime_conditioned_weight	median_abs_regime_conditioned_weight	signed_weight_sum	sparse_edge_fraction	status
adult_repair	BMP_module	21	0.04201435564839414	0.015308600301933728	0.22402376624220335	0.09523809523809523	computed_regime_conditioned_expected_W
adult_repair	FGF_SHH_module	8	0.006669092448671469	0.004348044931117774	-0.022540461102781392	0.0	computed_regime_conditioned_expected_W
adult_repair	NOTCH_module	4	0.01773374086065009	0.015574838744294665	-0.04149113392308171	0.25	computed_regime_conditioned_expected_W
adult_repair	RA_module	16	0.007016891646181222	0.005661856626891323	-0.061156383049482656	0.0	computed_regime_conditioned_expected_W
adult_repair	WNT_stemness_module	452	0.11744357350998749	0.12	31.93522794420348	0.048672566371681415	computed_regime_conditioned_expected_W
adult_repair	chromatin_regulator_module	17	0.07772658097822942	0.07590830395538603	-1.2717618557131969	0.0	computed_regime_conditioned_expected_W
adult_repair	other_or_unassigned	5239	0.1479601740468427	0.13033600431644546	234.94145022064353	0.19450276770376027	computed_regime_conditioned_expected_W
adult_repair	p53_Rb_fate_lock_module	4	0.0033185065245563816	0.002059226205490177	0.011289950731163564	0.0	computed_regime_conditioned_expected_W
embryonic_reactivation	BMP_module	21	0.049774789553150366	0.018754365022809957	0.20161803693803315	0.09523809523809523	computed_regime_conditioned_expected_W
embryonic_reactivation	FGF_SHH_module	8	0.007806749471294719	0.005139573137807827	-0.007420919812901763	0.0	computed_regime_conditioned_expected_W
embryonic_reactivation	NOTCH_module	4	0.014154035362128711	0.01309145103622002	-0.02062636279792195	0.25	computed_regime_conditioned_expected_W
embryonic_reactivation	RA_module	16	0.008064976024445697	0.005331329672958736	-0.03960816480172578	0.0	computed_regime_conditioned_expected_W
embryonic_reactivation	WNT_stemness_module	452	0.11723001842667137	0.12	31.876051561818976	0.048672566371681415	computed_regime_conditioned_expected_W
embryonic_reactivation	chromatin_regulator_module	17	0.0568350869133586	0.04547296359222143	-0.919648574952679	0.0	computed_regime_conditioned_expected_W
embryonic_reactivation	other_or_unassigned	5239	0.13619218514458484	0.1277598078244485	251.55374486059523	0.19450276770376027	computed_regime_conditioned_expected_W
embryonic_reactivation	p53_Rb_fate_lock_module	4	0.0031310176191007536	0.002918784319536459	0.010954979274067961	0.0	computed_regime_conditioned_expected_W
salamander_blastema	BMP_module	21	0.030289909845193932	0.013304881713156972	0.0817890326096562	0.09523809523809523	computed_regime_conditioned_expected_W
salamander_blastema	FGF_SHH_module	8	0.005938726210331392	0.002937787914016791	-0.004676181404156965	0.0	computed_regime_conditioned_expected_W
salamander_blastema	NOTCH_module	4	0.007317710842003672	0.006560852701248536	-0.009920571785855373	0.25	computed_regime_conditioned_expected_W
salamander_blastema	RA_module	16	0.005951131592140545	0.0036696266247659287	-0.021921671731572386	0.0	computed_regime_conditioned_expected_W
salamander_blastema	WNT_stemness_module	452	0.11697657367606215	0.12	31.784747975857208	0.048672566371681415	computed_regime_conditioned_expected_W
salamander_blastema	chromatin_regulator_module	17	0.04696822905730429	0.04129871620039347	-0.7632413388142464	0.0	computed_regime_conditioned_expected_W
salamander_blastema	other_or_unassigned	5239	0.12091077176238785	0.11442824354634007	269.0464227471307	0.19450276770376027	computed_regime_conditioned_expected_W
salamander_blastema	p53_Rb_fate_lock_module	4	0.0029959274727823027	0.002563090767460764	0.010947180053098311	0.0	computed_regime_conditioned_expected_W
salamander_intact	BMP_module	21	0.04636880859671177	0.013845261146715585	0.23102781395642796	0.09523809523809523	computed_regime_conditioned_expected_W
salamander_intact	FGF_SHH_module	8	0.006518549052824981	0.004282951075125831	-0.015378510978478727	0.0	computed_regime_conditioned_expected_W
salamander_intact	NOTCH_module	4	0.013872782381874012	0.012842639403564456	-0.027562561467333328	0.25	computed_regime_conditioned_expected_W
salamander_intact	RA_module	16	0.007275157385728875	0.005512263606311334	-0.053479364695364594	0.0	computed_regime_conditioned_expected_W
salamander_intact	WNT_stemness_module	452	0.11760751503279473	0.12	31.999899743826724	0.048672566371681415	computed_regime_conditioned_expected_W
salamander_intact	chromatin_regulator_module	17	0.08308076190977243	0.07692027714371669	-1.3520824532284461	0.0	computed_regime_conditioned_expected_W
salamander_intact	other_or_unassigned	5239	0.1588524772512099	0.14	223.2403245247831	0.19450276770376027	computed_regime_conditioned_expected_W
salamander_intact	p53_Rb_fate_lock_module	4	0.0038312234032165794	0.0032692902697515763	0.013035255270951687	0.0	computed_regime_conditioned_expected_W
adult_repair	ALL_MODULES	5761	0.14419394764774143	0.13	265.7150420480318	0.18121853844818608	computed_regime_conditioned_expected_W
embryonic_reactivation	ALL_MODULES	5761	0.13344400749584537	0.125	282.6550654162611	0.18121853844818608	computed_regime_conditioned_expected_W
salamander_blastema	ALL_MODULES	5761	0.11941389950249422	0.113	300.1241471719149	0.18121853844818608	computed_regime_conditioned_expected_W
salamander_intact	ALL_MODULES	5761	0.15414202568662447	0.1332454409870614	254.03578444746756	0.18121853844818608	computed_regime_conditioned_expected_W
