edge_id	source	target	module	output_axis	target_type	base_weight	sign	empirical_edge_status	W_adult_repair	W_embryonic_reactivation	W_salamander_blastema	W_salamander_intact	mean_abs_W_across_regimes	sd_W_across_regimes	cv_W_across_regimes	sign_change_count	edge_stability_score	edge_stability_class
WGRN_000001	ACTN1	STATE_AXIS:C	other_or_unassigned	C	state_axis	-0.0054116147224226	repression_negative	measured_but_not_sparse_selected	-0.007124527674955675	-0.004034133758161515	-0.0036638154197901978	-0.006823982036783014	0.0054116147224226	0.001571711521146071	0.2904330041519415	0	0.7749336825565687	stable
WGRN_000002	ACTN1	STATE_AXIS:G	other_or_unassigned	G	state_axis	-0.0032711819247396	repression_negative	measured_but_not_sparse_selected	-0.003769175328511592	-0.0029851826718824345	-0.0019716689174560484	-0.004358700781108323	0.0032711819247395997	0.0008945982788229511	0.27347860785644473	0	0.785250724928335	stable
WGRN_000003	ACTN1	STATE_AXIS:P	other_or_unassigned	P	state_axis	0.0075325075673587	activation_positive	measured_but_not_sparse_selected	0.008788408528008548	0.006856910091251212	0.004536482160170373	0.00994822949000467	0.007532507567358701	0.0020521695727177577	0.27244175387365166	0	0.7858905894558502	stable
WGRN_000004	ACTN1	STATE_AXIS:S	other_or_unassigned	S	state_axis	-0.0198279003659365	repression_negative	measured_but_not_sparse_selected	-0.011545701355703103	-0.02367466654685037	-0.024379283630762	-0.01971194993043051	0.019827900365936495	0.005101984041100124	0.2573133789730515	0	0.7953466627522727	stable
WGRN_000005	AFF3	STATE_AXIS:C	other_or_unassigned	C	state_axis	-0.0110755759506027	repression_negative	measured_but_not_sparse_selected	-0.014581275908130029	-0.00825638134368262	-0.007498476523604	-0.013966170026994148	0.0110755759506027	0.0032167127960465373	0.2904330041519415	0	0.7749336825565687	stable
WGRN_000006	AFF3	STATE_AXIS:G	other_or_unassigned	G	state_axis	0.0033998333767807	activation_positive	measured_but_not_sparse_selected	0.0039174122319204745	0.003102586134661772	0.002049212164823807	0.0045301229757167445	0.0033998333767806996	0.0009297816988258614	0.2734786078564448	0	0.7852507249283349	stable
WGRN_000007	AFF3	STATE_AXIS:P	other_or_unassigned	P	state_axis	-0.0090360535543972	repression_negative	measured_but_not_sparse_selected	-0.01054264192991081	-0.00822560166693053	-0.005441998614843867	-0.0119339720059036	0.009036053554397202	0.0024617982784562176	0.2724417538736516	0	0.7858905894558502	stable
WGRN_000008	AFF3	STATE_AXIS:S	other_or_unassigned	S	state_axis	0.0149142730127348	activation_positive	measured_but_not_sparse_selected	0.008684517218892397	0.01780775744525025	0.018337760691431015	0.014827056695365529	0.014914273012734796	0.0038376419838333834	0.2573133789730515	0	0.7953466627522727	stable
WGRN_000009	AR	STATE_AXIS:C	other_or_unassigned	C	state_axis	0.0062815439432247	activation_positive	measured_but_not_sparse_selected	0.00826981149998057	0.004682629820216325	0.004252781977238318	0.007920952475463589	0.0062815439432247	0.001824367678143183	0.2904330041519416	0	0.7749336825565687	stable
WGRN_000010	AR	STATE_AXIS:G	other_or_unassigned	G	state_axis	-0.0004209565473156	repression_negative	measured_but_not_sparse_selected	-0.0004850415137469577	-0.000384152339910603	-0.00025372692777026005	-0.0005609054078345789	0.00042095654731559996	0.00011512261052792588	0.27347860785644473	0	0.785250724928335	stable
