metric	estimate	ci_lower_2p5	ci_upper_97p5	n_bootstrap
mean_difference	-0.009351896955890188	-0.04246890322712066	0.024717531301386916	5000
median_difference	-0.09381058316425582	-0.13673195133392013	-0.05271763159209979	5000
auc	0.4797928489042676	0.4697299730872741	0.48975831449442525	5000
