figure	panel	source_file	columns_used	row_count	aggregation	transformation	new_statistics_generated	notes
Supplementary_Figure_1	a	Supplementary_Figure_1/closure_model_comparison.tsv	global_MSE,regime_conditioned_MSE_LOO,prediction_error_reduction_fraction	1	none	displayed locked model-comparison values	NO	No new statistics
Supplementary_Figure_1	b,d	Supplementary_Figure_1/causal_closure_score_summary.tsv	pathway,directional_consistency_component,counterfactual_agreement_component,null_separation_component,CCS_available_evidence_rescaled,available_weight_fraction	5	none	pathway evidence score display	NO	No new statistics
Supplementary_Figure_1	c	Supplementary_Figure_1/regime_conditioned_deltaZ_consistency.tsv	latent_regime,global_abs_error,regime_conditioned_abs_error_LOO,regime_conditioned_sign_alignment_LOO	20	mean by latent_regime	summary display from supplied rows	NO	No new hypothesis tests
Supplementary_Figure_1	d	Supplementary_Figure_1/null_perturbation_control_results.tsv	pathway,null_component_score	5	none	line display of supplied score	NO	
Supplementary_Figure_1	d	Supplementary_Figure_1/counterfactual_consistency_scores.tsv	pathway,counterfactual_component_score	5	none	line display of supplied score	NO	
Supplementary_Figure_1	e	Supplementary_Figure_1/regime_conditioned_grn_summary.tsv	latent_regime,module,mean_abs_regime_conditioned_weight	36	ALL_MODULES if available	bar display of supplied summary	NO	
