embedding_1	embedding_2	Unified_Stabilization_score	color_scale_vmin_2pct	color_scale_vmax_98pct
0.012036814347779751	-0.0067969229637053034	-0.3874014668007416	-1.3253604427267756	2.9277657667169907
0.012047925398448667	0.002767367183950485	-0.3328108499495593	-1.3253604427267756	2.9277657667169907
0.017126775748338017	-0.0013166077987103472	-0.24596742735456745	-1.3253604427267756	2.9277657667169907
-0.02810253713766927	0.003331723500384294	3.806745963163052	-1.3253604427267756	2.9277657667169907
0.016182839770314223	0.0004120686593066437	0.2606583736012467	-1.3253604427267756	2.9277657667169907
-0.02799638102391263	-0.0019627597465727807	-0.03578683958103534	-1.3253604427267756	2.9277657667169907
-0.02090612819467723	-0.00032698386843410776	-0.3198810389839285	-1.3253604427267756	2.9277657667169907
0.004264197284957859	-0.013108997248349921	-0.19515137658611417	-1.3253604427267756	2.9277657667169907
-0.027681777600351388	0.0026404182043720803	1.344554889968706	-1.3253604427267756	2.9277657667169907
-0.011314550868531554	0.011145301240564565	-0.046214727818957	-1.3253604427267756	2.9277657667169907
0.018178576729899355	0.003197583679218866	0.031236028129265167	-1.3253604427267756	2.9277657667169907
-0.010559949752017643	-0.001170565806529595	-0.1900653720874735	-1.3253604427267756	2.9277657667169907
0.014277699301346494	-0.0014484250426795371	-0.1920253273738624	-1.3253604427267756	2.9277657667169907
0.015553161461995754	0.001137656355523696	0.44982476196474314	-1.3253604427267756	2.9277657667169907
-0.026455013141557272	-0.0006464861942269873	-0.7110961248024352	-1.3253604427267756	2.9277657667169907
0.005987764097551884	-0.014986646479507496	-1.0603881195752343	-1.3253604427267756	2.9277657667169907
0.0027886848602810222	0.01661292564992725	0.07433799572904423	-1.3253604427267756	2.9277657667169907
-0.031186837670666583	-0.00025164115183552206	-0.29290609639636506	-1.3253604427267756	2.9277657667169907
-0.02458679714798648	-0.030512927385954278	-1.3253604427267756	-1.3253604427267756	2.9277657667169907
-0.024194157115842364	-0.029971890654658644	-1.3253604427267756	-1.3253604427267756	2.9277657667169907
-0.026264049605531355	0.0011919404883029424	-0.4440321669726025	-1.3253604427267756	2.9277657667169907
