metric	group	score	reported_mean_difference	reported_cohens_d	reported_q	reported_direction
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.5286965089315273	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.0712783159546358	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-1.2005747434520788	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	1.8506482353490368	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	1.5037032938929562	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.5598667685695904	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.1007719168848423	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.5916897175223028	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.6462570948105539	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.8910315766128767	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	1.884399292917699	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	1.7537310204067569	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.8107913565375998	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.4491202490924033	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.822486090807314	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.4347566706416533	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.5948426302788927	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.4585609656819467	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	1.2023150192086245	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.4595069249541192	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.3955736754198155	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	1.0924301698475254	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.0359343895167328	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.0047355250801826	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.6157127368598059	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.5846757613825407	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.5812245907093063	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.1879528385276646	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.8166503012275622	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.0060174110198637	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.8456889497276172	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.4190579958467227	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.3783853714332122	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.0630493681705676	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	1.4316150451241134	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	0.9686230834411034	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.4296534118784854	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	-0.9729697403215816	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
Fate_Lock	"mammalian
senescence-like
repair failure"	1.6162384051654946	0.2038772415165967	0.2129788911342768	1.3392697504199133e-37	higher in mammalian senescence-like states
