metric	mean	ci_low	ci_high	n
"CellRank
self-absorption"	0.49898251119685977	0.4926873660583037	0.5052776563354158	5985
"Velocity
self-transition"	0.1589801013469696	0.1575266569852829	0.1604335457086563	5985
