embedding_1	embedding_2	cellrank_absorb_senescence_basin	color_scale_vmin_2pct	color_scale_vmax_98pct
0.012036814347779751	-0.0067969229637053034	0.09249161111081727	0.0	1.0
0.012047925398448667	0.002767367183950485	0.0	0.0	1.0
0.017126775748338017	-0.0013166077987103472	0.27100724595082	0.0	1.0
-0.02810253713766927	0.003331723500384294	0.5248815444872095	0.0	1.0
0.016182839770314223	0.0004120686593066437	0.2904184290732875	0.0	1.0
-0.02799638102391263	-0.0019627597465727807	0.02788374113729189	0.0	1.0
-0.02090612819467723	-0.00032698386843410776	0.0	0.0	1.0
0.004264197284957859	-0.013108997248349921	0.15366849811312677	0.0	1.0
-0.027681777600351388	0.0026404182043720803	0.29386467360278545	0.0	1.0
-0.011314550868531554	0.011145301240564565	0.0	0.0	1.0
0.018178576729899355	0.003197583679218866	0.21726846270132275	0.0	1.0
-0.010559949752017643	-0.001170565806529595	0.5625894119818161	0.0	1.0
0.014277699301346494	-0.0014484250426795371	0.2281047986978207	0.0	1.0
0.015553161461995754	0.001137656355523696	0.2936449366982944	0.0	1.0
-0.026455013141557272	-0.0006464861942269873	0.0	0.0	1.0
0.005987764097551884	-0.014986646479507496	0.3272391172312006	0.0	1.0
0.0027886848602810222	0.01661292564992725	1.0	0.0	1.0
-0.031186837670666583	-0.00025164115183552206	0.03901116970233876	0.0	1.0
-0.02458679714798648	-0.030512927385954278	0.39729835235923355	0.0	1.0
-0.024194157115842364	-0.029971890654658644	0.33364795085854626	0.0	1.0
-0.026264049605531355	0.0011919404883029424	0.22316180708586625	0.0	1.0
0.00037032414971446847	-0.018170634849413524	0.10810161825298364	0.0	1.0
0.017876804428620545	-0.003240076860274743	0.15377051901638117	0.0	1.0
-0.03174386738486016	-0.0016702725800405284	0.09772378356301846	0.0	1.0
0.017186210559993465	0.0013902714374806541	0.3124337325072606	0.0	1.0
0.005048397534524002	-0.015486528848483078	0.26404558290318003	0.0	1.0
0.002285577068232255	-0.01392290096595361	0.07840846309964648	0.0	1.0
0.006624821433584476	0.014562881804066036	0.4091942883752338	0.0	1.0
-0.027609707433770267	-0.000923861172753212	0.11303812726937015	0.0	1.0
0.00025380956719698715	0.020626724651250962	0.44261588892578124	0.0	1.0
-0.03497475558628153	-0.0005237680554522825	0.0	0.0	1.0
0.0030763823976277306	-0.01615364879224128	0.2692092436286585	0.0	1.0
-0.02775269453625472	-0.0009501724360928159	0.055909349111935444	0.0	1.0
-0.001759386871062328	0.0002707855292756225	0.3023486293138741	0.0	1.0
-0.02445732031614404	-0.03033159636571224	0.39707688972574334	0.0	1.0
-0.0034022002044998543	0.0057800216383171715	0.42570081447365554	0.0	1.0
-0.011857839237493239	-0.0035063398679931112	0.5029007886593014	0.0	1.0
0.009634091018622636	0.010513689917061069	0.4949348692053538	0.0	1.0
0.004543301482219727	-0.012482670090835323	0.21917658042412755	0.0	1.0
-0.02771021719045876	-0.0005722751071349393	0.0	0.0	1.0
-0.025204975746986342	-0.0015732050069355518	0.3633273946396617	0.0	1.0
0.018949887176331733	-0.0028775600561792318	0.16398406260944878	0.0	1.0
-0.03432477129661152	-0.0002326887716393999	0.058528481831337964	0.0	1.0
0.014739831239687938	-0.0018192644600817712	0.2379039634026538	0.0	1.0
0.00538730622231097	-0.02201099279754529	0.8480053346424405	0.0	1.0
0.00936965146616355	0.01092084815171425	0.40888185682971895	0.0	1.0
-0.01192784563992912	-0.0009918119459139268	0.13892798629782172	0.0	1.0
-0.011690588134893227	-0.0016177345350227921	0.08073482247337144	0.0	1.0
0.015931820790285208	0.012089028441641492	0.38243204337209213	0.0	1.0
0.009116390443962305	0.011658682735548008	0.5110587673362142	0.0	1.0
-0.03126074695930025	-0.0009002067593328564	0.5913559837751843	0.0	1.0
0.008965624757411946	0.013731638970824356	0.4690194645724338	0.0	1.0
0.009252534282909163	0.014247399134022277	0.39240995127539174	0.0	1.0
-0.02808661565567067	-6.575722648055309e-05	0.32046759890773135	0.0	1.0
0.016083364337690857	-0.0010468030255466815	0.18918381432498424	0.0	1.0
0.007393193068792878	-0.011570226788515995	0.20596785872570442	0.0	1.0
-0.02607241944707925	-0.0010299604972177558	0.07046358979648043	0.0	1.0
0.00845128146541771	0.012527956626894954	0.32755823582454763	0.0	1.0
0.006657269521512146	0.014844598857926904	0.5961726447869851	0.0	1.0
0.003720112294670649	-0.01532059017901267	1.0	0.0	1.0
-0.03413646776382834	-0.0007231898698539727	0.02933517621826053	0.0	1.0
0.006103393427945694	-0.014757611880110594	0.2874261015237511	0.0	1.0
0.011407532755503774	0.0033110703693753365	0.2611650286871859	0.0	1.0
-0.030081648008868762	-0.0019484760195041047	0.021675128712750107	0.0	1.0
0.016109086776932464	-2.2629090418034537e-05	0.0	0.0	1.0
0.0067497743683850465	0.01064009704427389	0.41990438503417243	0.0	1.0
0.014832205435743854	-0.0008275517440613419	0.17310561343233002	0.0	1.0
0.009678626065584216	0.006323834536429612	0.41960629408012884	0.0	1.0
-0.03314934000111896	-0.0004335933762708328	0.17480820719932585	0.0	1.0
-0.022559389485338976	0.010773974169325153	0.0	0.0	1.0
-0.023175116406253648	0.010558942566038917	0.0	0.0	1.0
0.015450746972011695	0.00023392610612294422	0.32388295488686963	0.0	1.0
0.017781206045891902	0.0009998310108601124	0.23490060684754788	0.0	1.0
0.0071510887220498365	-0.011842901636140149	0.3093714333493286	0.0	1.0
-0.026039810606577465	-0.0015584970882357224	0.054488569959764935	0.0	1.0
0.0045411799568000856	-0.01353464158814758	0.10486620664925672	0.0	1.0
-0.029509924088668645	-0.00037201969703788224	0.10772410784992502	0.0	1.0
-0.011125176768299036	-0.002089111403988794	0.41050933974016246	0.0	1.0
-0.030773837719818033	-0.0005533577144413801	0.45529012903583893	0.0	1.0
0.014690484067912788	0.00579764941625554	0.3306629319597815	0.0	1.0
-0.027533522114562625	-0.0001816875432311701	0.5928801590927189	0.0	1.0
0.018381870099036225	0.0020242871388438353	0.22242301217235466	0.0	1.0
0.007838043206601943	0.015487109413275957	0.5157399423719661	0.0	1.0
0.017388249224036482	-0.001629592929959169	0.18908333382937537	0.0	1.0
0.01719349195402962	-0.0007976647017902971	0.2135033963303426	0.0	1.0
0.0007851308584729557	-0.017312221494006973	0.17171144138499544	0.0	1.0
0.01456762193045106	0.002359771545699503	0.2520302546314107	0.0	1.0
0.01492246987475653	0.018646315783762586	1.0	0.0	1.0
0.017344821150775094	0.009803472657023788	1.0	0.0	1.0
