stage	module	score
intact	developmental_position_score	-0.3598915320079624
intact	developmental_position_score	0.428044178912857
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.6087143438540805
intact	developmental_position_score	0.6367025138144187
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.24157944521603328
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.024340451293877297
intact	developmental_position_score	-0.13091242763943423
intact	developmental_position_score	0.22541626539953408
intact	developmental_position_score	-0.14600879027626937
intact	developmental_position_score	-0.2407954728237811
intact	developmental_position_score	0.1984300980668644
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.03559951371251263
intact	developmental_position_score	-0.13320805898663712
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.3166602574644669
intact	developmental_position_score	2.0527588634240366
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.3735208352311141
intact	developmental_position_score	0.3260466318033992
intact	developmental_position_score	-0.28137571287289487
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.2289278231789408
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.02453472643523401
intact	developmental_position_score	-0.015955391217821635
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.06049052344231465
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.4000597246762009
intact	developmental_position_score	1.1737959426248916
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	1.6814677073178668
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.9222403641020931
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.4271647236745942
intact	developmental_position_score	0.7319489314562471
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.004942555887410882
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	2.021883585464055
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.20245011881661773
intact	developmental_position_score	0.5093714940197589
intact	developmental_position_score	0.5479754122900011
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.016054849552098904
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.06977436414262733
intact	developmental_position_score	-0.22680311103390774
intact	developmental_position_score	-0.44243829098830123
intact	developmental_position_score	0.2333419715163665
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.27917841223834117
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.3792115453329767
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.05150616331557463
intact	developmental_position_score	-0.43289447658906405
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.04895849624756904
intact	developmental_position_score	-0.19971637658930597
intact	developmental_position_score	-0.4710949435380961
intact	developmental_position_score	-0.27493830565077143
intact	developmental_position_score	0.23680584372465888
intact	developmental_position_score	0.021074580278132526
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.0830314661327824
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.1824987955169839
intact	developmental_position_score	0.6445938538288707
intact	developmental_position_score	-0.17739244865005058
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.04186769582717764
intact	developmental_position_score	0.02738524218437316
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.15885232663026294
intact	developmental_position_score	-0.41731169483945085
intact	developmental_position_score	-0.531692900340936
intact	developmental_position_score	-0.12401472236737421
intact	developmental_position_score	1.3887020664043406
intact	developmental_position_score	0.3177923980483981
intact	developmental_position_score	-0.36658249130098014
intact	developmental_position_score	0.5635799960512667
intact	developmental_position_score	0.2933151512812211
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	1.1223264703305507
intact	developmental_position_score	-0.08668867376294331
intact	developmental_position_score	0.04532742127273991
intact	developmental_position_score	-0.5681998322838351
intact	developmental_position_score	0.14935961366124517
intact	developmental_position_score	-0.32962259015384143
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.6606020327637614
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.1849913230509866
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.7862581884738815
intact	developmental_position_score	2.0698801135859792
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.6902112357656214
intact	developmental_position_score	-0.576715713310457
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.2781431346958163
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.09728789534468793
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.34571405504729
intact	developmental_position_score	0.9766299705622877
intact	developmental_position_score	0.8799599659675834
intact	developmental_position_score	0.7233386366175334
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.3638000228675757
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.04199247560061775
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.2490877516589698
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.02002429222474493
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.1641695006524787
intact	developmental_position_score	0.1054645542511436
intact	developmental_position_score	0.2571995696033848
intact	developmental_position_score	-0.08563099508481956
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.5020711853197182
intact	developmental_position_score	-0.4682128038474567
intact	developmental_position_score	-0.5611683999879438
intact	developmental_position_score	0.18442350586313028
intact	developmental_position_score	-0.25920244129674774
intact	developmental_position_score	-0.2826404232685992
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	1.0481912939114233
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.43805995933484987
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.3991221559000996
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.2910996596683747
intact	developmental_position_score	-0.3793370423441888
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	1.7566190533823267
intact	developmental_position_score	-0.4665220157455746
intact	developmental_position_score	0.14819926071427453
intact	developmental_position_score	0.12312929804303069
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.5152236457531524
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.7038499265790406
intact	developmental_position_score	-0.3085678483813409
intact	developmental_position_score	-0.2751685902143914
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	1.0653151347753944
intact	developmental_position_score	-0.4102588528102001
intact	developmental_position_score	-0.6375680708575175
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.19016007615874578
intact	developmental_position_score	-0.2625428880102856
intact	developmental_position_score	0.47865081600405895
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.6372819386092539
intact	developmental_position_score	-0.35428977396225436
intact	developmental_position_score	-0.1769092917340514
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.3741329973231317
intact	developmental_position_score	2.162365022165382
intact	developmental_position_score	-0.4330472920114344
intact	developmental_position_score	1.1733313427569718
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.18909899613489992
intact	developmental_position_score	-0.11058622535755978
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.5903888341805021
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.2856973466257751
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.24228008067329826
intact	developmental_position_score	0.0748328509557773
intact	developmental_position_score	-0.3983224700908081
intact	developmental_position_score	1.59469343620911
intact	developmental_position_score	-0.4478042028701997
intact	developmental_position_score	-0.2357517450914251
intact	developmental_position_score	0.7809917197138577
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.42682303471191535
intact	developmental_position_score	-0.35018416155492493
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.09311089879691142
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.10689488540620012
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.20232192817858324
intact	developmental_position_score	-0.18591008022538358
intact	developmental_position_score	0.5520493541090732
intact	developmental_position_score	-0.2724848239388062
intact	developmental_position_score	-0.4203519906857129
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.570448359174593
intact	developmental_position_score	-0.6263845787995138
intact	developmental_position_score	0.4729777692702249
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.19655358991656363
intact	developmental_position_score	-0.3595844588627087
intact	developmental_position_score	0.630516656187983
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.08609802959061708
intact	developmental_position_score	-0.20708426929273047
intact	developmental_position_score	0.7337457147686625
intact	developmental_position_score	-0.339721729801686
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	0.2284117444919211
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.5628688577002398
intact	developmental_position_score	-0.8253082744494096
intact	developmental_position_score	-0.6094016799396111
