embedding_1	embedding_2	stage
-0.045409288352915	-0.005666332623969149	intact
-0.026084104334737918	-0.0005296141953925518	intact
0.01817478952612915	-0.00191111738388169	intact
0.012350805810312209	0.003932608651178838	intact
0.01793000996371628	0.013982998473424376	intact
0.006619816848088566	-0.0009360129601130938	intact
0.007270706899144469	0.001472878396113414	intact
0.011508290912984491	0.00047489798624762036	intact
-0.020553227862766667	0.0003920149803278939	intact
0.005717772326901541	0.00018758509968754382	intact
0.009725285761753914	-0.005599330743386646	intact
0.006606857545984086	0.0013127775533796407	intact
0.013532218744888521	0.010169561063063898	intact
0.014416492417476605	0.010043915622407569	intact
-0.035207586218248904	-0.003260331932429091	intact
0.01028694571473744	7.072234664450945e-05	intact
0.013585044620545326	0.0009063666615194883	intact
-0.032279715250223884	-0.0026969044157340045	intact
0.016856360642920117	0.013083702296783397	intact
0.01695293216700512	0.01276496977458745	intact
-0.049675481559898114	-0.006760326140271975	intact
0.016578308960543152	0.0124297889639828	intact
0.008311445686214022	-0.0023214590448391967	intact
-0.004241118519287361	0.0012037364828276133	intact
0.006021594077248629	0.0006139373086128064	intact
0.018310067470541293	0.014436558799238672	intact
0.017689102997906728	0.01373581303803267	intact
-0.004771172834832679	0.0005531171218422921	intact
-0.03077837302948095	-0.001869928676317436	intact
0.024377810012546283	0.000506691007895907	intact
0.008773948914101963	0.0008911721543944728	intact
0.025650978967300387	0.0005016179716862754	intact
0.0172749727789138	0.0006894159021009114	intact
0.017548584213408915	0.013491467892524903	intact
-0.025252103253039924	-4.513196295401752e-05	intact
-0.010165639754984962	0.0011800094611732173	intact
-0.00230660824604915	0.00024984778282382907	intact
-0.023083641055393365	0.0004134328840535767	intact
-0.04124169028638734	-0.005377177438880872	intact
-0.021034588672998317	0.0006497167134002326	intact
0.007616167816695706	-0.0018731076912928345	intact
-0.02794314818958672	-0.0016529995833675965	intact
-0.013485530979138138	0.0007900393785404492	intact
-0.028574230103539232	-0.000846194726821488	intact
0.005241295186696094	0.0008186817596483254	intact
0.0029807417374914467	0.0009556735110268066	intact
0.01770188911710691	0.013761941597949301	intact
0.022484783387209238	0.0005427649562656136	intact
0.016847060263402533	0.01262178970328457	intact
0.01701328314274687	0.01310530256213865	intact
0.0026942946265392214	0.0008224108917922292	intact
-0.04793621062204584	-0.006233920560288909	intact
0.003307778939738568	-0.0015725234585223073	intact
-0.05356290527419722	-0.007871550109275694	intact
-0.0002392550619188123	-0.0009184018727046551	intact
0.01796544096912471	0.013755276976631599	intact
-0.009197009477928049	0.0012696011803372184	intact
-0.059752381487902885	-0.00805718617543231	intact
0.005188712175159593	0.0007074962915720398	intact
0.006242206531359578	0.0005653649642846927	intact
0.018535162894576008	0.014558486798594039	intact
-0.03713653473565182	-0.0044778633856981135	intact
0.0175538090781793	0.013747923592806462	intact
-0.004848273355777546	0.0011258691443330167	intact
-0.00463420789042789	0.00036834194768395833	intact
0.006737269007271638	-0.0036571698925065995	intact
-0.006035966108256793	0.000566510828023116	intact
0.004880408830073011	0.0003778051484078418	intact
-0.042540799283412374	-0.005671952716028519	intact
-0.0010439113480252124	0.0010368902294467187	intact
0.017269354014452693	0.01409550267542647	intact
0.010869924293391812	0.006116201989652595	intact
-0.028343202167548674	-0.0010483084296194342	intact
0.014431468876047446	0.009715022487304444	intact
-0.01085600307917763	0.0015622780729138712	intact
0.00394242571326244	0.0014985787030192055	intact
0.018285598400097466	0.014422213336908303	intact
0.005919553706919611	0.0015017617348601086	intact
0.01139445973098399	0.006957743507558322	intact
0.003792577817015443	0.0013229016475155109	intact
-0.00688881821850533	0.0012621199156248285	intact
0.011705158439792375	0.0063724778587995945	intact
0.007549330537425459	-3.149817022635449e-05	intact
-0.014716577005068168	0.001153396258585227	intact
0.015262092600905499	0.010949491726658251	intact
0.017758638821566867	0.013846447230124174	intact
-0.02837549150512679	-0.0011227323636195223	intact
0.007963092241734257	9.517650734341097e-05	intact
-0.05912283367472288	-0.008575142409562617	intact
0.006454309343115079	0.003239576239460465	intact
0.0166788861185899	-0.002798884043268347	intact
0.011626890533438936	0.000791805728385957	intact
-0.007889593831274723	0.0008778010144434664	intact
-0.000821847119581609	0.000171343466081674	intact
0.017983748696472898	0.014105144555985438	intact
-0.010984204824427116	0.0009609648231024486	intact
0.0055353001246905	-0.00023289419229551774	intact
0.010267199809047547	0.0055443579969554286	intact
0.0020326180877399836	0.0020019199376235678	intact
0.004863659674792106	0.00033308807637843043	intact
-0.0556496644021383	-0.007874943867240284	intact
-0.012817472539497185	0.0015045735798407559	intact
0.018248790024720133	0.01438502300590658	intact
0.0027364356010293415	0.0008561699214481974	intact
0.004773110129221428	0.0011212760691940479	intact
-0.017798446588550267	0.001269746958482283	intact
-0.008437674340955137	0.0008781399043030804	intact
0.008226731862543376	0.003482003196028265	intact
0.0015957568988468351	0.00047750582831316906	intact
-0.024894034242284986	-0.00014333682933940638	intact
-0.005900634987954551	0.0014201968992750157	intact
-0.004416992008001812	0.0013457997252412106	intact
-0.05121317444274083	-0.006825723677972684	intact
0.022827526989110294	0.00030391571893170077	intact
-0.013554546457604934	0.0015801352157818773	intact
0.006321446609229467	-0.0019553841825074984	intact
0.021824442783026768	0.0004414995282290932	intact
0.0059761960551657205	0.0008083816498059343	intact
-0.028015636572589066	-0.0008651720882143759	intact
0.006131654827112158	0.00041449465835795946	intact
-0.014083197911903447	0.00012648773539912324	intact
0.011927511706875395	0.002290257260457259	intact
0.01723363775631628	0.013178185191733605	intact
-0.041967428592078776	-0.00544890144245349	intact
-0.05938606071455866	-0.008336565711823523	intact
-0.005846163294631246	0.0006852274164461877	intact
-0.007502950247846776	0.0013927741866347433	intact
-0.018077333852023165	0.0012206997972487596	intact
0.01699061928599435	0.012718735461313965	intact
