dpt_pseudotime	blastema_progenitor_score	blastema_positional_regeneration_score	ra_hox_positional_identity_score	senescence_sasp_score
0.0	-2.098625379414944	-1.8177889756243129	-0.8839781607964893	1.8607114437167271
0.0027961105	0.6375981067855925	-0.6173717543641626	-0.8839781607964893	0.7073405402768422
0.0040424247	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.004360703	0.06475815132945133	-0.444084997910533	-0.8839781607964893	-0.749593092812531
0.0047637396	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.0048004766	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.0058426657	0.24921511869969803	-0.9845144001041892	-0.8839781607964893	1.6580671391224227
0.0059745875	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.0069629117	-0.19649259137542802	-0.5311685788121594	-0.8839781607964893	-0.749593092812531
0.0071390853	0.3122628103556747	-0.36158344490179195	-0.8839781607964893	-0.749593092812531
0.0077297795	-0.34063395438106975	-0.57921569981404	-0.8839781607964893	-0.749593092812531
0.008024574	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.008201751	0.04526129641872946	-0.18537261724727375	0.7072898330045099	-0.749593092812531
0.008584574	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.008799155	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.009340831	0.14613181492793678	0.6246493242492179	-0.8839781607964893	-0.749593092812531
0.00942698	0.17209437465290972	-0.4083062568027135	-0.8839781607964893	-0.749593092812531
0.009576777	-0.9763921956887885	0.4495304954657917	0.545031490264634	-0.749593092812531
0.009665501	0.04672123418768894	-0.45009730362445377	-0.8839781607964893	-0.749593092812531
0.009794225	-2.098625379414944	-0.6894170726057498	1.9707964525210007	-0.749593092812531
0.010181005	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.010229292	-0.30763051198913693	-0.26939663339415754	0.9089293529389398	-0.749593092812531
0.010400558	0.11118222099838411	0.22240035171004646	-0.8839781607964893	-0.749593092812531
0.010710035	0.21027909874991282	0.4573480181047692	-0.8839781607964893	-0.749593092812531
0.010738552	0.5131161946115571	-0.2946323168164977	-0.8839781607964893	-0.749593092812531
0.010765067	-0.12995641155454446	-0.5089898522051982	-0.8839781607964893	-0.749593092812531
0.011059891	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.011332879	0.3650188610648531	0.23295704515261065	-0.8839781607964893	-0.749593092812531
0.011472555	0.5477768329253349	-0.2830787707119051	-0.8839781607964893	-0.749593092812531
0.0116174	-0.8049713660994658	-0.4270067125933368	0.08719492849895798	0.03252294993644326
0.011781219	-0.4129365027228083	-1.3708205516230885	-0.8839781607964893	2.3204229166346773
0.011827442	0.16176141977483438	0.8041117958025567	-0.8839781607964893	-0.749593092812531
0.012019068	0.024808895929021527	-0.4574014163773429	-0.8839781607964893	-0.749593092812531
0.012045062	0.21729175748269863	-0.3932404625261172	-0.8839781607964893	-0.749593092812531
0.012768721	0.14727138865804162	-0.4165805854676695	-0.8839781607964893	-0.749593092812531
0.0129240705	0.32688850221425664	0.6989037158405782	-0.8839781607964893	-0.749593092812531
0.01325054	0.28588617065986927	0.07527738467112377	0.5258686959696568	0.38580064559507143
0.013298279	-2.098625379414944	-1.1652128414919982	-0.8839781607964893	-0.749593092812531
0.013847544	0.12261297897455099	0.5235535309368122	0.9488259721018207	-0.749593092812531
0.01434177	-0.8019328457329953	-1.065414614149173	-0.8839781607964893	0.5801373760587665
0.015757045	-0.13850865311908486	-0.5118405993933784	-0.8839781607964893	-0.749593092812531
0.015811548	0.17925390558742102	-0.40591974649120977	-0.8839781607964893	-0.749593092812531
